Event Root Code	Year	Avg. Avg Tone	Num Articles
18	2018	-6.842090901	55,258
19	2018	-6.285672659	196,221
18	2017	-6.048482825	38,384
19	2016	-5.733631662	298,593
18	2016	-5.695418868	119,292
17	2018	-5.661221227	189,019
19	2017	-5.467914123	185,370
17	2016	-5.366908730	362,933
17	2017	-5.334923640	254,922
20	2017	-5.203046818	633
20	2018	-4.967054393	512
13	2016	-4.774351996	76,958
20	2016	-4.704538692	503
13	2018	-4.529228450	35,253
13	2017	-4.043389621	48,351
14	2016	-4.013013200	62,913
17	2015	-4.000097986	367,979
11	2016	-3.943696465	260,127
15	2016	-3.924784665	36,363
19	2015	-3.910621725	212,573
18	2015	-3.906689421	71,003
11	2018	-3.778799155	136,973
09	2016	-3.775585058	92,716
14	2017	-3.708078011	61,313
09	2018	-3.587815220	106,733
11	2017	-3.569947420	149,155
16	2016	-3.547891881	30,849
20	2015	-3.539646758	449
09	2017	-3.515474501	69,586
14	2018	-3.449229119	23,505
16	2017	-3.422211735	51,621
16	2018	-3.334461340	15,977
12	2016	-3.037082177	88,539
13	2015	-3.022258527	69,065
12	2018	-2.945498244	41,766
15	2018	-2.866899267	5,959
08	2016	-2.843850504	126,584
10	2016	-2.832976355	49,400
11	2015	-2.799873826	248,088
15	2017	-2.761394754	22,475
10	2018	-2.737983889	24,075
01	2016	-2.733182562	544,389
12	2017	-2.729320350	53,261
15	2015	-2.724748811	17,679
10	2017	-2.621084680	39,583
16	2015	-2.607432707	81,237
01	2018	-2.586311160	389,049
14	2015	-2.456519031	17,946
08	2017	-2.436849155	65,494
08	2018	-2.435431483	56,986
01	2017	-2.384041956	405,347
12	2015	-2.327361769	162,345
08	2015	-2.239635215	136,571
10	2015	-2.132221212	65,325
02	2016	-2.093134205	235,575
09	2015	-2.088858736	141,139
01	2015	-2.002815548	822,652
02	2017	-1.945969133	200,248
02	2015	-1.726335388	374,487
02	2018	-1.716737667	153,504
07	2018	-1.681501743	146,051
07	2016	-1.496545517	135,000
04	2016	-1.310538967	769,186
